country,iso,language_code,language,search_field,keyword,theme,follower_min,follower_max,proposed_country_allocation,platform_note
India,IN,en,English,Bio,psychologist,Professional role,300,10000,3200,Instagram + YouTube
India,IN,en,English,Bio,psychiatrist,Professional role,300,10000,3200,Instagram + YouTube
India,IN,en,English,Bio,psychotherapist,Professional role,300,10000,3200,Instagram + YouTube
India,IN,en,English,Bio,mental health counselor,Professional role,300,10000,3200,Instagram + YouTube
India,IN,en,English,Bio,mental health counsellor,Professional role,300,10000,3200,Instagram + YouTube
India,IN,en,English,Bio,cognitive behavioral therapy,Therapy approach,300,10000,3200,Instagram + YouTube
India,IN,en,English,Bio,EMDR,Therapy approach,300,10000,3200,Instagram + YouTube
India,IN,en,English,Bio,CBT,Therapy approach,300,10000,3200,Instagram + YouTube
India,IN,en,English,Bio,cognitive behavioural therapy,Therapy approach,300,10000,3200,Instagram + YouTube
India,IN,en,English,Bio,sex therapist,Professional role,300,10000,3200,Instagram + YouTube
India,IN,en,English,Bio,couples therapist,Professional role,300,10000,3200,Instagram + YouTube
India,IN,en,English,Captions,mental health,Mental health,300,10000,3200,Instagram + YouTube
India,IN,en,English,Captions,anxiety,Anxiety,300,10000,3200,Instagram + YouTube
India,IN,en,English,Captions,burnout,Burnout / exhaustion,300,10000,3200,Instagram + YouTube
India,IN,en,English,Captions,loneliness,Loneliness,300,10000,3200,Instagram + YouTube
India,IN,en,English,Captions,emotional regulation,Emotional regulation,300,10000,3200,Instagram + YouTube
India,IN,en,English,Captions,couples communication,Couple / relationships,300,10000,3200,Instagram + YouTube
India,IN,en,English,Captions,parental burnout,Parenting stress,300,10000,3200,Instagram + YouTube
India,IN,en,English,Captions,addiction recovery,Addictions,300,10000,3200,Instagram + YouTube
India,IN,en,English,Captions,mindfulness meditation,Meditation / mindfulness,300,10000,3200,Instagram + YouTube
India,IN,en,English,Captions,breathing exercises,Breathing / coping,300,10000,3200,Instagram + YouTube
India,IN,en,English,Captions,sexual wellbeing,Sexual wellbeing / intimacy,300,10000,3200,Instagram + YouTube
India,IN,en,English,Captions,anxious attachment,Attachment,300,10000,3200,Instagram + YouTube
India,IN,en,English,Captions,relationship advice,Couple / relationships,300,10000,3200,Instagram + YouTube
India,IN,en,English,Captions,quit smoking,Addictions,300,10000,3200,Instagram + YouTube
India,IN,en,English,Captions,sobriety,Addictions,300,10000,3200,Instagram + YouTube
India,IN,en,English,Captions,overthinking,Anxiety,300,10000,3200,Instagram + YouTube
India,IN,en,English,Captions,psychological trauma,Psychological trauma,300,10000,3200,Instagram + YouTube
India,IN,en,English,Captions,self-esteem,Self-esteem,300,10000,3200,Instagram + YouTube
India,IN,hi,Hindi,Bio,मनोवैज्ञानिक,Professional role,300,10000,3200,Instagram + YouTube
India,IN,hi,Hindi,Bio,मनोचिकित्सक,Professional role,300,10000,3200,Instagram + YouTube
India,IN,hi,Hindi,Bio,मनोचिकित्सा,Professional role,300,10000,3200,Instagram + YouTube
India,IN,hi,Hindi,Bio,संज्ञानात्मक व्यवहार थेरेपी,Therapy approach,300,10000,3200,Instagram + YouTube
India,IN,hi,Hindi,Bio,EMDR,Therapy approach,300,10000,3200,Instagram + YouTube
India,IN,hi,Hindi,Captions,मानसिक स्वास्थ्य,Mental health,300,10000,3200,Instagram + YouTube
India,IN,hi,Hindi,Captions,चिंता,Anxiety,300,10000,3200,Instagram + YouTube
India,IN,hi,Hindi,Captions,भावनात्मक थकान,Burnout / exhaustion,300,10000,3200,Instagram + YouTube
India,IN,hi,Hindi,Captions,अकेलापन,Loneliness,300,10000,3200,Instagram + YouTube
India,IN,hi,Hindi,Captions,भावनात्मक नियंत्रण,Emotional regulation,300,10000,3200,Instagram + YouTube
India,IN,hi,Hindi,Captions,वैवाहिक परामर्श,Couple / relationships,300,10000,3200,Instagram + YouTube
India,IN,hi,Hindi,Captions,परवरिश का तनाव,Parenting stress,300,10000,3200,Instagram + YouTube
India,IN,hi,Hindi,Captions,नशा मुक्ति,Addictions,300,10000,3200,Instagram + YouTube
India,IN,hi,Hindi,Captions,माइंडफुलनेस मेडिटेशन,Meditation / mindfulness,300,10000,3200,Instagram + YouTube
India,IN,hi,Hindi,Captions,साँस के व्यायाम,Breathing / coping,300,10000,3200,Instagram + YouTube
India,IN,hi,Hindi,Captions,यौन स्वास्थ्य,Sexual wellbeing / intimacy,300,10000,3200,Instagram + YouTube
India,IN,hi,Hindi,Captions,chinta,Anxiety,300,10000,3200,Instagram + YouTube
India,IN,hi,Hindi,Captions,akelapan,Loneliness,300,10000,3200,Instagram + YouTube
